"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"446",3,50,6200,2008,"Fabryczna"
"447",2,45.61,6336,NA,"Śródmieście"
"448",2,52.64,5300,2007,"Krzyki"
"449",4,87.38,5665,NA,"Krzyki"
"450",2,48.2,5394,NA,"Krzyki"
"451",4,78.76,6374,NA,"Krzyki"
"452",2,53.6,5317,NA,"Psie Pole"
"453",5,133.01,6466,NA,"Krzyki"
"454",3,73.19,5260,NA,"Krzyki"
"455",2,50.41,5316,NA,"Psie Pole"
"456",2,67,6104,1900,"Stare Miasto"
"457",2,38.2,6545,NA,"Fabryczna"
"458",2,83.5,4970,1910,"Stare Miasto"
"459",2,58.8,5017,2011,"Fabryczna"
"460",5,85.23,5573,1998,"Krzyki"
"461",4,104,4798,1995,"Krzyki"
"462",2,58.49,7900,2016,"Psie Pole"
"463",3,69.48,5613,2003,"Fabryczna"
"464",3,77.96,5900,2010,"Krzyki"
"465",3,82.11,5115,2016,"Krzyki"
"466",3,67,5373,1965,"Krzyki"
"467",4,77.3,4774,1985,"Fabryczna"
"468",4,67,5731,NA,"Fabryczna"
"469",3,63.5,5118,1980,"Krzyki"
"470",3,47,7213,1970,"Krzyki"
"471",2,48.6,5700,NA,"Krzyki"
"472",3,52,6058,1994,"Fabryczna"
"473",2,55,5273,1997,"Śródmieście"
"474",2,44.6,5830,NA,"Fabryczna"
"475",2,43.68,6296,1900,"Śródmieście"
"476",2,52.4,3798,NA,"Psie Pole"
"477",3,62.5,5200,1984,"Krzyki"
"478",3,67,5373,1960,"Krzyki"
"479",3,61,5738,1967,"Stare Miasto"
"480",3,76,4855,1930,"Psie Pole"
"481",3,62,5629,1992,"Krzyki"
"482",4,70,5143,1992,"Krzyki"
"483",2,45,6889,NA,"Krzyki"
"484",2,51,6176,2006,"Fabryczna"
"485",3,58,6810,2014,"Fabryczna"
"486",2,50,5900,1960,"Fabryczna"
"487",2,40,6950,1975,"Stare Miasto"
"488",2,68,5000,1920,"Krzyki"
"489",2,50,5900,1960,"Fabryczna"
"490",2,44,5750,NA,"Krzyki"
"491",2,33,6818,NA,"Krzyki"
"492",3,58,5845,1910,"Krzyki"
"493",2,51,9784,1909,"Stare Miasto"
"494",4,85,8588,2012,"Krzyki"
"495",2,39.9,6967,1969,"Stare Miasto"
"496",2,42,5786,1936,"Fabryczna"
"497",2,72.32,4950,NA,"Fabryczna"
"498",3,95.46,4950,NA,"Fabryczna"
"499",2,42.09,5464,NA,"Fabryczna"
"500",3,61.46,5423,NA,"Fabryczna"
"501",2,44.63,5603,NA,"Fabryczna"
"502",2,45.51,5603,NA,"Fabryczna"
"503",4,82,4573,1980,"Fabryczna"
"504",3,63,5127,1983,"Krzyki"
"505",1,30,7000,2007,"Fabryczna"
"506",4,119,2815,2015,NA
"507",4,127,3307,2007,NA
"508",3,61,5082,NA,"Krzyki"
"509",2,47,6170,1970,"Śródmieście"
"510",3,74,4730,1930,"Śródmieście"
"511",3,49.3,5984,1972,"Stare Miasto"
"512",4,90.5,4840,1991,"Śródmieście"
"513",2,37,7973,NA,"Stare Miasto"
"514",2,45,4422,1901,"Krzyki"
"515",4,80.74,4600,2017,"Psie Pole"
"516",2,44,6136,NA,"Śródmieście"
"517",3,61,5393,2005,"Fabryczna"
"518",2,34,6588,1980,"Stare Miasto"
"519",3,85,4106,1980,"Krzyki"
"520",2,59.1,5415,1930,"Śródmieście"
